RP_Location,x,y,Access Point ID,RSSI_Values
DOSA,8.31,15.99,48:8b:0a:f4:ff:83:,"[null, null, null, null, null, null, null, null, null, null]"
DOSA,8.31,15.99,84:f1:47:a8:36:c3,"[-54, -63, -49, -56, -49, -44, -47, -54, -52, -49]"
DOSA,8.31,15.99,f0:1d:2d:a5:1d:c2:,"[-84, null, null, null, null, null, null, null, null, null]"
DOSA,8.31,15.99,f0:1d:2d:a5:1d:c1:,"[-82, null, null, null, null, null, null, null, null, null]"
DOSA,8.31,15.99,48:8b:0a:f4:27:e3:,"[null, null, null, null, null, null, null, null, null, null]"
DOAA,17.31,6.61,48:8b:0a:f4:ff:83:,"[null, null, null, null, null, null, null, null, null, null]"
DOAA,17.31,6.61,84:f1:47:a8:36:c3,"[-49, -38, -48, -41, -47, -48, -46, -50, -42, -44]"
DOAA,17.31,6.61,f0:1d:2d:a5:1d:c2:,"[-84, -62, null, null, null, null, -57, -60, -61, -66]"
DOAA,17.31,6.61,f0:1d:2d:a5:1d:c1:,"[-82, null, null, null, null, null, -56, -61, -61, -66]"
DOAA,17.31,6.61,48:8b:0a:f4:27:e3:,"[null, -85, null, null, null, null, null, null, null, null]"
R&D,46.0,6.8,48:8b:0a:f4:ff:83:,"[-75, null, -78, null, -83, null, null, -79, null, -84]"
R&D,46.0,6.8,84:f1:47:a8:36:c3,"[-74, null, -74, -75, -63, -77, -60, -84, null, -72]"
R&D,46.0,6.8,f0:1d:2d:a5:1d:c2:,"[-74, -43, -46, -50, -57, -51, -43, -47, -47, -51]"
R&D,46.0,6.8,f0:1d:2d:a5:1d:c1:,"[-72, -42, -47, -50, -54, -51, -44, -47, -46, -50]"
R&D,46.0,6.8,48:8b:0a:f4:27:e3:,"[-60, -62, -57, -65, -61, -64, -63, -64, -58, -60]"
Finance,46.0,21.06,48:8b:0a:f4:ff:83:,"[-75, null, -78, -48, -83, -48, -47, -62, -47, -79]"
Finance,46.0,21.06,84:f1:47:a8:36:c3,"[-74, null, -74, null, -63, null, null, null, null, null]"
Finance,46.0,21.06,f0:1d:2d:a5:1d:c2:,"[-74, -43, -46, -59, -57, -57, -52, -49, -54, -52]"
Finance,46.0,21.06,f0:1d:2d:a5:1d:c1:,"[-72, -42, -47, -59, -54, -58, -49, -51, -53, null]"
Finance,46.0,21.06,48:8b:0a:f4:27:e3:,"[-67, -62, -57, -64, -61, -69, -61, -66, -59, -61]"
Conference,26.18,21.81,48:8b:0a:f4:ff:83:,"[-65, -73, null, null, -70, -71, -66, null, -74, -74]"
Conference,26.18,21.81,84:f1:47:a8:36:c3,"[null, -76, null, null, -77, null, -68, -75, -74, -71]"
Conference,26.18,21.81,f0:1d:2d:a5:1d:c2:,"[null, -72, -43, -53, -61, -57, -62, -67, -65, -64]"
Conference,26.18,21.81,f0:1d:2d:a5:1d:c1:,"[null, -70, -42, -53, -61, -58, -61, -68, -65, -64]"
Conference,26.18,21.81,48:8b:0a:f4:27:e3:,"[null, -75, -62, -62, -76, -69, -78, -83, null, -74]"
maingate,35.69,0.0,48:8b:0a:f4:ff:83:,"[-75, null, -78, null, -85, null, null, -79, null, -78]"
maingate,35.69,0.0,84:f1:47:a8:36:c3,"[-74, null, -74, -75, null, -79, null, -84, null, -74]"
maingate,35.69,0.0,f0:1d:2d:a5:1d:c2:,"[-74, -43, -46, -50, -46, -42, -40, -47, -44, -44]"
maingate,35.69,0.0,f0:1d:2d:a5:1d:c1:,"[-72, -42, -47, -50, -45, -42, -41, -47, -43, -44]"
maingate,35.69,0.0,48:8b:0a:f4:27:e3:,"[-52, -62, -57, -65, -56, -57, -66, -64, -60, -58]"
exit/enter,0.0,7.81,48:8b:0a:f4:ff:83:,"[null, null, null, null, null, null, null, null, null, null]"
exit/enter,0.0,7.81,84:f1:47:a8:36:c3,"[-50, -50, -51, -51, -60, -51, -52, -50, -50, -52]"
exit/enter,0.0,7.81,f0:1d:2d:a5:1d:c2:,"[-84, null, null, null, null, null, null, -59, -60, -65]"
exit/enter,0.0,7.81,f0:1d:2d:a5:1d:c1:,"[-82, null, null, null, null, null, null, -60, -60, -65]"
exit/enter,0.0,7.81,48:8b:0a:f4:27:e3:,"[null, null, null, null, null, null, null, -88, null, null]"
