x,y,rssi_data
6,0,"[{'f0:1d:2d:a5:1d:c3': -74}, {'48:8b:0a:f3:19:43': -95}, {'84:f1:47:a8:36:c3': -93}, {'48:8b:0a:f4:fa:23': -96}, {'48:8b:0a:f4:27:e3': -85}, {'84:5a:3e:94:a4:83': -87}, {'84:f1:47:a8:77:20': -85}, {'f0:1d:2d:a5:1d:c0': -59}, {'48:8b:0a:f2:3a:c0': -95}, {'48:8b:0a:f3:19:40': -95}, {'48:8b:0a:f3:7b:00': -96}, {'84:f1:47:a8:36:c0': -93}, {'48:8b:0a:f4:fa:20': -96}, {'48:8b:0a:f4:27:e0': -85}, {'84:5a:3e:94:a4:80': -87}, {'84:f1:47:a8:77:21': -85}, {'f0:1d:2d:a5:1d:c1': -59}, {'48:8b:0a:f2:3a:c1': -95}, {'48:8b:0a:f3:19:41': -94}, {'48:8b:0a:f3:7b:01': -95}, {'84:f1:47:a8:36:c1': -93}, {'48:8b:0a:f4:fa:21': -96}, {'48:8b:0a:f4:27:e1': -85}, {'84:5a:3e:94:a4:81': -93}, {'f0:1d:2d:a5:1d:c2': -59}, {'48:8b:0a:f3:19:42': -95}, {'48:8b:0a:f3:7b:02': -96}, {'84:f1:47:a8:36:c2': -93}, {'48:8b:0a:f4:fa:22': -96}, {'48:8b:0a:f4:27:e2': -85}, {'84:5a:3e:94:a4:82': -93}]"
6,1,"[{'c4:9a:31:73:40:7e': -96}, {'f0:1d:2d:a5:1d:c3': -83}, {'48:8b:0a:f4:fa:23': -95}, {'84:f1:47:a8:9d:23': -87}, {'84:f1:47:a8:36:c3': -60}, {'48:8b:0a:ba:e1:e3': -96}, {'84:f1:47:a8:77:23': -95}, {'f0:1d:2d:a5:1d:c2': -74}, {'84:f1:47:a8:77:22': -95}, {'48:8b:0a:f2:64:a2': -95}, {'48:8b:0a:f4:fa:22': -95}, {'84:f1:47:a8:9d:22': -87}, {'84:f1:47:a8:36:c2': -60}, {'f0:1d:2d:a5:1d:c1': -82}, {'48:8b:0a:f2:64:a1': -95}, {'48:8b:0a:f4:fa:21': -95}, {'84:f1:47:a8:9d:21': -87}, {'84:f1:47:a8:36:c1': -60}, {'84:f1:47:a8:77:21': -96}, {'f0:1d:2d:a5:1d:c0': -82}, {'48:8b:0a:f2:64:a0': -95}, {'48:8b:0a:f4:fa:20': -95}, {'84:f1:47:a8:9d:20': -86}, {'84:f1:47:a8:36:c0': -60}, {'48:8b:0a:ba:e1:e0': -96}, {'84:f1:47:a8:77:20': -96}, {'72:cf:49:d7:21:fc': -96}, {'86:9e:56:b9:17:6e': -97}]"
6,2,"[{'84:f1:47:a8:36:c3': -60}, {'84:f1:47:a8:9d:23': -85}, {'48:8b:0a:f4:fa:23': -95}, {'48:8b:0a:f2:64:a3': -94}, {'f0:1d:2d:a5:1d:c3': -94}, {'84:f1:47:a8:77:23': -95}, {'84:f1:47:a8:36:c2': -59}, {'84:f1:47:a8:9d:22': -86}, {'48:8b:0a:f4:fa:22': -95}, {'48:8b:0a:f2:64:a2': -94}, {'f0:1d:2d:a5:1d:c2': -94}, {'84:f1:47:a8:77:22': -95}, {'84:f1:47:a8:36:c1': -59}, {'48:8b:0a:ba:e1:e1': -95}, {'84:f1:47:a8:9d:21': -86}, {'48:8b:0a:f4:fa:21': -95}, {'48:8b:0a:f2:64:a1': -94}, {'f0:1d:2d:a5:1d:c1': -94}, {'84:f1:47:a8:77:21': -95}, {'84:f1:47:a8:36:c0': -59}, {'48:8b:0a:ba:e1:e0': -95}, {'84:f1:47:a8:9d:20': -86}, {'48:8b:0a:f4:fa:20': -95}, {'48:8b:0a:f2:64:a0': -94}, {'f0:1d:2d:a5:1d:c0': -94}, {'84:f1:47:a8:77:20': -95}, {'c4:9a:31:73:40:7e': -93}, {'72:cf:49:d7:21:fc': -95}, {'b2:52:16:1e:ee:1f': -98}]"
6,3,"[{'84:f1:47:a8:36:c3': -59}, {'84:f1:47:a8:9d:23': -85}, {'48:8b:0a:f2:64:a3': -93}, {'48:8b:0a:f4:fa:23': -94}, {'f0:1d:2d:a5:1d:c3': -83}, {'84:f1:47:a8:9d:22': -85}, {'84:f1:47:a8:36:c2': -59}, {'48:8b:0a:f2:64:a2': -93}, {'48:8b:0a:f4:fa:22': -94}, {'f0:1d:2d:a5:1d:c2': -83}, {'84:f1:47:a8:9d:21': -85}, {'84:f1:47:a8:36:c1': -59}, {'48:8b:0a:f2:64:a1': -87}, {'48:8b:0a:f4:fa:21': -94}, {'f0:1d:2d:a5:1d:c1': -83}, {'48:8b:0a:ba:e1:e1': -97}, {'84:f1:47:a8:9d:20': -85}, {'84:f1:47:a8:36:c0': -59}, {'48:8b:0a:f2:64:a0': -87}, {'48:8b:0a:f4:fa:20': -94}, {'f0:1d:2d:a5:1d:c0': -84}, {'48:8b:0a:ba:e1:e0': -96}]"
6,4,"[{'84:f1:47:a8:36:c3': -59}, {'48:8b:0a:f4:fa:23': -94}, {'48:8b:0a:f2:64:a3': -86}, {'f0:1d:2d:a5:1d:c3': -83}, {'84:f1:47:a8:9d:23': -86}, {'c4:9a:31:73:40:7e': -97}, {'72:cf:49:d7:21:fc': -97}, {'48:8b:0a:ba:e1:e1': -96}, {'84:f1:47:a8:36:c1': -59}, {'84:f1:47:a8:9d:21': -86}, {'48:8b:0a:f4:fa:21': -94}, {'84:f1:47:a8:73:c1': -97}, {'f0:1d:2d:a5:1d:c1': -83}, {'48:8b:0a:ba:e1:e0': -96}, {'84:f1:47:a8:36:c0': -59}, {'84:f1:47:a8:9d:20': -86}, {'48:8b:0a:f4:fa:20': -94}, {'84:f1:47:a8:73:c0': -96}, {'48:8b:0a:f2:64:a0': -86}, {'f0:1d:2d:a5:1d:c0': -82}, {'84:f1:47:a8:77:20': -97}, {'84:f1:47:a8:36:c2': -59}, {'84:f1:47:a8:9d:22': -86}, {'48:8b:0a:f4:fa:22': -94}, {'48:8b:0a:ba:e1:e2': -96}]"
6,5,"[{'84:f1:47:a8:36:c3': -59}, {'48:8b:0a:f2:64:a3': -86}, {'f0:1d:2d:a5:1d:c3': -85}, {'84:f1:47:a8:77:23': -96}, {'48:8b:0a:f3:19:43': -96}, {'84:f1:47:a8:9d:23': -94}, {'48:8b:0a:ba:e1:e2': -96}, {'84:f1:47:a8:36:c2': -59}, {'48:8b:0a:f2:64:a2': -86}, {'84:f1:47:a8:77:22': -95}, {'f0:1d:2d:a5:1d:c2': -84}, {'84:f1:47:a8:9d:22': -94}, {'84:f1:47:a8:9d:21': -94}, {'84:f1:47:a8:36:c1': -59}, {'48:8b:0a:f2:64:a1': -85}, {'48:8b:0a:f4:fa:21': -94}, {'f0:1d:2d:a5:1d:c1': -85}, {'84:f1:47:a8:77:21': -95}, {'48:8b:0a:ba:e1:e1': -96}, {'84:f1:47:a8:9d:20': -94}, {'48:8b:0a:ba:e1:e0': -96}, {'84:f1:47:a8:36:c0': -59}, {'48:8b:0a:f2:64:a0': -86}, {'48:8b:0a:f4:fa:20': -95}, {'84:f1:47:a8:77:20': -96}, {'f0:1d:2d:a5:1d:c0': -84}, {'48:8b:0a:f3:19:40': -96}, {'86:9e:56:b9:17:6e': -96}]"
6,6,"[{'84:f1:47:a8:36:c3': -58}, {'84:f1:47:a8:9d:23': -95}, {'48:8b:0a:ba:e1:e3': -94}, {'48:8b:0a:f4:fa:23': -94}, {'48:8b:0a:f2:64:a3': -86}, {'f0:1d:2d:a5:1d:c3': -83}, {'48:8b:0a:ba:e1:e0': -94}, {'84:f1:47:a8:9d:20': -95}, {'84:f1:47:a8:36:c0': -59}, {'48:8b:0a:f4:fa:20': -94}, {'48:8b:0a:f2:64:a0': -86}, {'84:f1:47:a8:77:20': -96}, {'84:f1:47:a8:36:c2': -59}, {'48:8b:0a:f4:fa:22': -94}, {'48:8b:0a:f2:64:a2': -86}, {'f0:1d:2d:a5:1d:c2': -83}, {'84:f1:47:a8:36:c1': -59}, {'48:8b:0a:f4:fa:21': -94}, {'48:8b:0a:f2:64:a1': -87}, {'84:f1:47:a8:77:21': -96}, {'f0:1d:2d:a5:1d:c1': -83}, {'48:8b:0a:ba:e1:e1': -94}, {'84:f1:47:a8:9d:21': -95}, {'48:8b:0a:f3:19:41': -97}]"
6,7,"[{'84:f1:47:a8:36:c3': -59}, {'48:8b:0a:ba:e1:e3': -95}, {'48:8b:0a:f3:19:43': -95}, {'48:8b:0a:f2:64:a3': -94}, {'48:8b:0a:f4:fa:23': -95}, {'84:f1:47:a8:73:c3': -95}, {'f0:1d:2d:a5:1d:c3': -83}, {'84:f1:47:a8:77:23': -96}, {'48:8b:0a:f2:3a:c3': -96}, {'84:f1:47:a8:36:c2': -59}, {'48:8b:0a:f2:3a:c2': -96}, {'48:8b:0a:ba:e1:e2': -94}, {'48:8b:0a:f3:19:42': -95}, {'48:8b:0a:f2:64:a2': -94}, {'48:8b:0a:f4:fa:22': -95}, {'84:f1:47:a8:73:c2': -95}, {'f0:1d:2d:a5:1d:c2': -83}, {'84:f1:47:a8:36:c1': -59}, {'48:8b:0a:ba:e1:e1': -94}, {'48:8b:0a:f2:64:a1': -93}, {'48:8b:0a:f4:fa:21': -95}, {'84:f1:47:a8:73:c1': -95}, {'f0:1d:2d:a5:1d:c1': -83}, {'84:f1:47:a8:77:21': -96}, {'48:8b:0a:f3:19:41': -95}, {'84:f1:47:a8:36:c0': -59}, {'48:8b:0a:ba:e1:e0': -94}, {'48:8b:0a:f3:19:40': -94}, {'48:8b:0a:f2:64:a0': -93}, {'48:8b:0a:f4:fa:20': -95}, {'84:f1:47:a8:73:c0': -95}, {'f0:1d:2d:a5:1d:c0': -83}, {'48:8b:0a:f2:3a:c0': -96}, {'c4:9a:31:73:40:7e': -98}, {'72:cf:49:d7:21:fc': -98}]"
6,8,"[{'84:f1:47:a8:36:c3': -58}, {'84:f1:47:a8:73:c3': -95}, {'48:8b:0a:f2:64:a3': -94}, {'48:8b:0a:f4:fa:23': -95}, {'84:f1:47:a8:77:23': -94}, {'f0:1d:2d:a5:1d:c3': -86}, {'48:8b:0a:f3:19:43': -94}, {'48:8b:0a:ba:e1:e2': -95}, {'84:f1:47:a8:36:c2': -58}, {'84:f1:47:a8:73:c2': -95}, {'48:8b:0a:f2:64:a2': -94}, {'48:8b:0a:f4:fa:22': -95}, {'84:f1:47:a8:77:22': -95}, {'f0:1d:2d:a5:1d:c2': -86}, {'48:8b:0a:f3:19:42': -94}, {'48:8b:0a:f2:3a:c0': -94}, {'48:8b:0a:ba:e1:e0': -94}, {'84:f1:47:a8:36:c0': -58}, {'84:f1:47:a8:73:c0': -95}, {'48:8b:0a:f2:64:a0': -93}, {'48:8b:0a:f4:fa:20': -95}, {'84:f1:47:a8:77:20': -94}, {'f0:1d:2d:a5:1d:c0': -86}, {'48:8b:0a:f3:19:40': -94}, {'84:f1:47:a8:9d:20': -96}, {'84:f1:47:a8:36:c1': -58}, {'84:f1:47:a8:73:c1': -95}, {'48:8b:0a:f2:64:a1': -93}, {'48:8b:0a:f4:fa:21': -95}, {'84:f1:47:a8:77:21': -94}, {'f0:1d:2d:a5:1d:c1': -86}, {'48:8b:0a:f2:3a:c1': -94}, {'48:8b:0a:f3:19:41': -94}, {'84:f1:47:a8:9d:21': -96}, {'48:8b:0a:ba:e1:e1': -95}, {'ae:f4:66:11:f6:27': -96}, {'86:9e:56:b9:17:6e': -95}]"
6,9,"[{'84:f1:47:a8:36:c3': -58}, {'48:8b:0a:f3:19:43': -86}, {'48:8b:0a:f2:64:a3': -74}, {'48:8b:0a:f4:fa:23': -95}, {'84:f1:47:a8:77:23': -95}, {'f0:1d:2d:a5:1d:c3': -73}, {'48:8b:0a:ba:e1:e3': -95}, {'84:f1:47:a8:9d:23': -87}, {'48:8b:0a:f3:19:41': -86}, {'84:f1:47:a8:36:c1': -58}, {'48:8b:0a:f2:64:a1': -74}, {'f0:1d:2d:a5:1d:c1': -73}, {'84:f1:47:a8:77:21': -94}, {'48:8b:0a:ba:e1:e1': -95}, {'84:f1:47:a8:9d:21': -87}, {'48:8b:0a:f2:3a:c1': -96}, {'48:8b:0a:f3:19:42': -86}, {'84:f1:47:a8:36:c2': -58}, {'48:8b:0a:f2:64:a2': -74}, {'48:8b:0a:f4:fa:22': -95}, {'84:f1:47:a8:77:22': -94}, {'f0:1d:2d:a5:1d:c2': -73}, {'48:8b:0a:f2:3a:c2': -96}, {'48:8b:0a:ba:e1:e2': -94}, {'84:f1:47:a8:9d:22': -86}, {'48:8b:0a:f3:19:40': -86}, {'84:f1:47:a8:36:c0': -58}, {'48:8b:0a:f2:64:a0': -74}, {'84:f1:47:a8:77:20': -94}, {'f0:1d:2d:a5:1d:c0': -73}, {'48:8b:0a:ba:e1:e0': -95}, {'84:f1:47:a8:9d:20': -86}, {'48:8b:0a:f2:3a:c0': -96}, {'ae:f4:66:11:f6:27': -96}, {'86:9e:56:b9:17:6e': -97}]"
